tweet_id,text,favorite_count,retweet_count,created_at
1389564518573948929,RT @unsuckdcmetro: Will Metro confirm that GM Wiedefeld doesn't have a reserved parking space at the new HQ?,0,4,Tue May 04 12:56:12 +0000 2021
1389564507459043334,"Compared to previous 30-year periods, the climate has turned unambiguously warmer https://t.co/vyZZyViKDw",68,37,Tue May 04 12:56:10 +0000 2021
1389564244849565703,"Capri, Italy's blue island, emerges from the pandemic blues https://t.co/Ev0jZ3olPD https://t.co/ShnMlZoVH1",66,15,Tue May 04 12:55:07 +0000 2021
1389564230156881921,"Giuliani claims federal investigators ""trying to frame"" him after his home and office were raided… https://t.co/eFnwNsjMLm",19,10,Tue May 04 12:55:03 +0000 2021
1389564078688030722,RT @iyoba4u: @EthiopiansE @NoRoom4FakeNews @yemiab @hawelti @EritreaStruggle @NeaminZeleke @john_jtzegai @MarthyEri #TPLF = Top Professiona…,0,5,Tue May 04 12:54:27 +0000 2021
1389564049017483264,RT @tesfayem74: @LanderMiddle @NeaminZeleke They are pissed off that Abiy declared TPLF and OLA as terrorist groups. They were calling of n…,0,3,Tue May 04 12:54:20 +0000 2021
1389563964389011456,RT @atsesatenaw: @LanderMiddle @NeaminZeleke The bottomline for them is not the election. Their agenda is far from observership role otherw…,0,3,Tue May 04 12:54:00 +0000 2021
1389563865839570945,"All the singers in this U.K. choir have undergone laryngectomies, voice box removal, to treat cancer. Singing build… https://t.co/F417TQv5FK",110,5,Tue May 04 12:53:37 +0000 2021
1389563803172491267,"RT @NafyadWakjira: @NeaminZeleke  an Ethiopian hero fighting #TPLF gangs who sold out the country to thieves and murderers!💪💪
#EthiopiaPrev…",0,13,Tue May 04 12:53:22 +0000 2021
1389563543519997954,RT @TArayaGarza: @EthiopiansE @NeaminZeleke @NoRoom4FakeNews @yemiab @hawelti @EritreaStruggle @john_jtzegai @MarthyEri #TPLF means Total P…,0,2,Tue May 04 12:52:20 +0000 2021
1389563472250384386,"CVS and Walgreens wasted thousands of COVID-19 vaccines, more shots than most U.S. states, territories and federal… https://t.co/J7bx7RtwFZ",32,15,Tue May 04 12:52:03 +0000 2021
1389563450037350402,"RT @sgebreselassie: @YohannesFrezer @NeaminZeleke @henokgabisa @FRANCE24 WHY? As remnants 5-decades OLF, Mr.Gebissa has no ideology that fi…",0,2,Tue May 04 12:51:57 +0000 2021
1389563393057693699,"RT @TimoFreeman: @wmata @unsuckdcmetro Finding your way on @Metrobusinfo @ night in pandemic = flashbacks to playing @oregontrail :
Reachin…",0,1,Tue May 04 12:51:44 +0000 2021
1389563330591956992,RT @Ethiopi77807325: @FrancoisF24 @NeaminZeleke @meazaG_ @henokgabisa @CERI_SciencesPo @rolmarchal The old TPLF brutally silenced Ethiopian…,0,7,Tue May 04 12:51:29 +0000 2021
1389563306822746114,RT @MeseretBehailu: @Abel_Tekl @NeaminZeleke @DrMehari @StalinTeklu @Alula_Solomon @24hrsforTigray @OmnaTigray @LostMyChats @TigrayIntercep…,0,6,Tue May 04 12:51:23 +0000 2021
1389563262681899009,"RT @jetblkeyes: @wmata @MetroForward @wmata @unsuckdcmetro @wmataRAC @wmata can we throughly clean the elevator at Anacostia Station, it co…",0,1,Tue May 04 12:51:13 +0000 2021
1389563178045124610,https://t.co/1K60LxhBUV https://t.co/mCbKntDsQG,8,5,Tue May 04 12:50:53 +0000 2021
1389562985107054592,"Cementing Egypt security ties, France seals large warplane deal https://t.co/JwwN0kGt4Y https://t.co/YQoneggrmP",65,21,Tue May 04 12:50:07 +0000 2021
1389562956602478595,"Selena Gomez, Jennifer Lopez and more walk the red carpet for the 'VAX LIVE' fundraiser https://t.co/gDbwE7DW5H",79,25,Tue May 04 12:50:00 +0000 2021
1389562798989000708,"RT @EmmaKinery: Southeast Asian nations like Laos and Thailand, as well as those bordering India such as Bhutan and Nepal, have been report…",0,10,Tue May 04 12:49:22 +0000 2021
1389562729044848640,Poll: Majority say they approve of Biden's job in office https://t.co/KBCucfRwQ4 https://t.co/ZN7l1PNbqi,123,21,Tue May 04 12:49:06 +0000 2021
1389562467064373250,"G7 discuss global challenges including climate change and threats to human rights
https://t.co/9jRlmeCf4y",131,36,Tue May 04 12:48:03 +0000 2021
1389562239120809992,RT @emozak3: @JosepBorrellF https://t.co/sroYgynG6x,0,8,Tue May 04 12:47:09 +0000 2021
1389562197089693696,"RT @LanderMiddle: The #EU acted as election observer in #Ethiopia (4/5 times in the TPLF era). In all of its observations, it concluded the…",0,37,Tue May 04 12:46:59 +0000 2021
1389562026855391237,Experts say police departments need to implement 3 basic rules in order for the cameras to be effective. But many o… https://t.co/PRyO3FatGs,46,30,Tue May 04 12:46:18 +0000 2021
1389561970773344260,Vulnerable House Democrats and Republicans are lining up to request earmarks in the fiscal 2022 bills… https://t.co/qPkgkrnKlo,19,4,Tue May 04 12:46:05 +0000 2021
1389561954214326272,"PBS White House reporter Yamiche Alcindor to moderate ""Washington Week"" https://t.co/QRSJwrruCD https://t.co/XSgxuUECmc",100,6,Tue May 04 12:46:01 +0000 2021
1389561855635566594,A well-deserved recognition for a true global public health leader. Congratulations to @CDCgov's Dr Anne Schuchat.… https://t.co/7mdqoXJsPY,32,16,Tue May 04 12:45:37 +0000 2021
